feature_set,model,regime_scheme,regime,n_months,mean_gross_return,mean_net_return,net_sharpe,avg_turnover,hit_rate,newey_west_tstat_mean_net,alpha,beta,alpha_tstat,model_name
return_only,ridge,trend,bear,14,0.0281268870021037,0.0256939422368458,0.789351400013359,2.432944765257873,0.5,1.4635697508691814,0.0184768310630156,-0.8318683069760925,1.7319748836555502,return_only__ridge
return_only,xgboost,vol,low_vol,43,0.007637674144941,0.0051671213228992,0.7829138631364815,2.470552822041822,0.5581395348837209,2.5713681626825395,0.0073153252851493,-0.1654752822360022,2.7418602349576773,return_only__xgboost
return_only,xgboost,trend,bear,14,0.0159771998186208,0.0134186348652211,0.7266202777059838,2.558564953399608,0.5,1.5323456594366225,0.0111685582599667,-0.2593513347787527,1.4725865341808515,return_only__xgboost
flow_compustat,elastic_net,vol,high_vol,52,0.0110583567498883,0.0088388214188109,0.6853165889364325,2.2195353310773593,0.6346153846153846,1.573635070321406,0.0109954678394701,-0.2073349600460616,2.097737821348081,flow_compustat__elastic_net
flow_compustat,elastic_net,period,2017-2019,36,0.0072872252898092,0.0048495877517566,0.5941448468079201,2.43763753805254,0.5833333333333334,1.3807422187646905,0.0074919717909495,-0.2437011651720934,1.901042187224858,flow_compustat__elastic_net
flow_compustat,elastic_net,dispersion,high_dispersion,48,0.01004689429114,0.0079137587793647,0.576004884652783,2.133135511775318,0.5833333333333334,1.4474843674231763,0.0106304198657376,-0.2871260519996421,2.2002733723857233,flow_compustat__elastic_net
flow_compustat,ridge,vol,high_vol,52,0.0076211049602825,0.0055665953232163,0.5485437436712625,2.0545096370662064,0.6153846153846154,1.3829253434781557,0.0075894139653866,-0.1944690693556697,2.0521785029621635,flow_compustat__ridge
return_only,mlp,period,2017-2019,36,0.0058994433820307,0.0031788994008355,0.540861966089798,2.7205439811952186,0.5833333333333334,1.0126528771943848,0.0041834060073202,-0.0926433958093988,1.3587858883469015,return_only__mlp
return_only,mlp,dispersion,low_dispersion,47,0.0060653180495857,0.0032935750603519,0.5235096724131967,2.771742989233762,0.5319148936170213,0.9130536464916524,0.0044178588525152,-0.0819292552156863,1.087787708154319,return_only__mlp
return_only,mlp,trend,bear,14,0.0102983438625867,0.0071881472536181,0.5098033762615417,3.1101966089686157,0.5714285714285714,1.0610360193676542,0.0074059392571818,0.0251034327882294,1.3615318071865592,return_only__mlp
flow_compustat,ridge,dispersion,high_dispersion,48,0.0065063803423401,0.0045359048686778,0.4422145283977178,1.9704754736622168,0.5625,1.150705390597482,0.0067122692731149,-0.2300216697228491,1.9085690519858365,flow_compustat__ridge
return_only,elastic_net,period,2017-2019,36,0.0065498879183707,0.003766116414989,0.4037342162704631,2.7837715033816925,0.5555555555555556,1.0303307893529292,0.0063363125135739,-0.2370434329966755,1.6629979308644598,return_only__elastic_net
return_only,ridge,dispersion,high_dispersion,48,0.009127483000826,0.0068345743670869,0.3030468583429759,2.2929086337390583,0.5,1.6486424370097523,0.0123265598109791,-0.5804522713761274,2.461034273058072,return_only__ridge
